Name,Image-path,Result
C:/users/thomas/documents/thesis/image analysis/positive/assurant,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/assurant.png,False
C:/users/thomas/documents/thesis/image analysis/positive/autoliv,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/autoliv.png,False
C:/users/thomas/documents/thesis/image analysis/positive/averydennison,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/averydennison.png,True
C:/users/thomas/documents/thesis/image analysis/positive/bakerhughes,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/bakerhughes.png,False
C:/users/thomas/documents/thesis/image analysis/positive/ball,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ball.png,False
C:/users/thomas/documents/thesis/image analysis/positive/bathandbodyworks,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/bathandbodyworks.png,False
C:/users/thomas/documents/thesis/image analysis/positive/baxter,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/baxter.png,False
C:/users/thomas/documents/thesis/image analysis/positive/bc,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/bc.png,False
C:/users/thomas/documents/thesis/image analysis/positive/berkley,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/berkley.png,False
C:/users/thomas/documents/thesis/image analysis/positive/berryglobal,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/berryglobal.png,True
C:/users/thomas/documents/thesis/image analysis/positive/biogen,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/biogen.png,True
C:/users/thomas/documents/thesis/image analysis/positive/blackrock,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/blackrock.png,False
C:/users/thomas/documents/thesis/image analysis/positive/blackstone,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/blackstone.png,False
C:/users/thomas/documents/thesis/image analysis/positive/bldr,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/bldr.png,False
C:/users/thomas/documents/thesis/image analysis/positive/bms,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/bms.png,False
C:/users/thomas/documents/thesis/image analysis/positive/bnymellon,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/bnymellon.png,True
C:/users/thomas/documents/thesis/image analysis/positive/boeing,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/boeing.png,True
C:/users/thomas/documents/thesis/image analysis/positive/borgwarner,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/borgwarner.png,False
C:/users/thomas/documents/thesis/image analysis/positive/broadcom,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/broadcom.png,True
C:/users/thomas/documents/thesis/image analysis/positive/burlington,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/burlington.png,True
C:/users/thomas/documents/thesis/image analysis/positive/caesars,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/caesars.png,True
C:/users/thomas/documents/thesis/image analysis/positive/campbells,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/campbells.png,False
C:/users/thomas/documents/thesis/image analysis/positive/caterpillar,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/caterpillar.png,False
C:/users/thomas/documents/thesis/image analysis/positive/cbrands,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/cbrands.png,False
C:/users/thomas/documents/thesis/image analysis/positive/cdw,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/cdw.png,False
C:/users/thomas/documents/thesis/image analysis/positive/centene,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/centene.png,False
C:/users/thomas/documents/thesis/image analysis/positive/chrobinson,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/chrobinson.png,False
C:/users/thomas/documents/thesis/image analysis/positive/cintas,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/cintas.png,False
C:/users/thomas/documents/thesis/image analysis/positive/cisco,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/cisco.png,False
C:/users/thomas/documents/thesis/image analysis/positive/citigroup,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/citigroup.png,False
C:/users/thomas/documents/thesis/image analysis/positive/cmc,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/cmc.png,False
C:/users/thomas/documents/thesis/image analysis/positive/coca-colacompany,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/coca-colacompany.png,False
C:/users/thomas/documents/thesis/image analysis/positive/cognizant,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/cognizant.png,False
C:/users/thomas/documents/thesis/image analysis/positive/colgatepalmolive,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/colgatepalmolive.png,False
C:/users/thomas/documents/thesis/image analysis/positive/commscope,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/commscope.png,True
C:/users/thomas/documents/thesis/image analysis/positive/conagrabrands,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/conagrabrands.png,True
C:/users/thomas/documents/thesis/image analysis/positive/constellationenergy,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/constellationenergy.png,True
C:/users/thomas/documents/thesis/image analysis/positive/corning,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/corning.png,True
C:/users/thomas/documents/thesis/image analysis/positive/corporate,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/corporate.png,True
C:/users/thomas/documents/thesis/image analysis/positive/corteva,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/corteva.png,False
C:/users/thomas/documents/thesis/image analysis/positive/crowncork,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/crowncork.png,True
C:/users/thomas/documents/thesis/image analysis/positive/dana,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/dana.png,False
C:/users/thomas/documents/thesis/image analysis/positive/danaher,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/danaher.png,True
C:/users/thomas/documents/thesis/image analysis/positive/davita,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/davita.png,False
C:/users/thomas/documents/thesis/image analysis/positive/deere,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/deere.png,True
C:/users/thomas/documents/thesis/image analysis/positive/dell,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/dell.png,False
C:/users/thomas/documents/thesis/image analysis/positive/dow,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/dow.png,False
C:/users/thomas/documents/thesis/image analysis/positive/dupont,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/dupont.png,True
C:/users/thomas/documents/thesis/image analysis/positive/eastman,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/eastman.png,False
C:/users/thomas/documents/thesis/image analysis/positive/ebay,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ebay.png,False
C:/users/thomas/documents/thesis/image analysis/positive/elcompanies,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/elcompanies.png,False
C:/users/thomas/documents/thesis/image analysis/positive/emcorgroup,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/emcorgroup.png,False
C:/users/thomas/documents/thesis/image analysis/positive/emerson,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/emerson.png,True
C:/users/thomas/documents/thesis/image analysis/positive/energytransfer,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/energytransfer.png,True
C:/users/thomas/documents/thesis/image analysis/positive/expeditors,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/expeditors.png,True
C:/users/thomas/documents/thesis/image analysis/positive/exxonmobil,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/exxonmobil.png,False
C:/users/thomas/documents/thesis/image analysis/positive/facebook,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/facebook.png,True
C:/users/thomas/documents/thesis/image analysis/positive/fanniemae,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/fanniemae.png,False
C:/users/thomas/documents/thesis/image analysis/positive/fbin,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/fbin.png,False
C:/users/thomas/documents/thesis/image analysis/positive/fiserv,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/fiserv.png,False
C:/users/thomas/documents/thesis/image analysis/positive/fisglobal,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/fisglobal.png,False
C:/users/thomas/documents/thesis/image analysis/positive/fluor,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/fluor.png,True
C:/users/thomas/documents/thesis/image analysis/positive/franklinresources,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/franklinresources.png,False
C:/users/thomas/documents/thesis/image analysis/positive/gd,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/gd.png,True
C:/users/thomas/documents/thesis/image analysis/positive/ge,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ge.png,False
C:/users/thomas/documents/thesis/image analysis/positive/generalmills,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/generalmills.png,True
C:/users/thomas/documents/thesis/image analysis/positive/genpt,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/genpt.png,True
C:/users/thomas/documents/thesis/image analysis/positive/gilead,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/gilead.png,True
C:/users/thomas/documents/thesis/image analysis/positive/globalp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/globalp.png,False
C:/users/thomas/documents/thesis/image analysis/positive/goldmansachs,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/goldmansachs.png,False
C:/users/thomas/documents/thesis/image analysis/positive/goodyear,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/goodyear.png,False
C:/users/thomas/documents/thesis/image analysis/positive/graphicpkg,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/graphicpkg.png,False
C:/users/thomas/documents/thesis/image analysis/positive/guardianlife,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/guardianlife.png,False
C:/users/thomas/documents/thesis/image analysis/positive/halliburton,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/halliburton.png,False
C:/users/thomas/documents/thesis/image analysis/positive/hilton,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/hilton.png,True
C:/users/thomas/documents/thesis/image analysis/positive/hp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/hp.png,True
C:/users/thomas/documents/thesis/image analysis/positive/huntsman,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/huntsman.png,True
C:/users/thomas/documents/thesis/image analysis/positive/ibm,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ibm.png,False
C:/users/thomas/documents/thesis/image analysis/positive/iff,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/iff.png,False
C:/users/thomas/documents/thesis/image analysis/positive/ingredion,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ingredion.png,False
C:/users/thomas/documents/thesis/image analysis/positive/insight,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/insight.png,False
C:/users/thomas/documents/thesis/image analysis/positive/intel,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/intel.png,True
C:/users/thomas/documents/thesis/image analysis/positive/internationalpaper,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/internationalpaper.png,True
C:/users/thomas/documents/thesis/image analysis/positive/interpublic,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/interpublic.png,False
C:/users/thomas/documents/thesis/image analysis/positive/iqvia,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/iqvia.png,False
C:/users/thomas/documents/thesis/image analysis/positive/itw,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/itw.png,True
C:/users/thomas/documents/thesis/image analysis/positive/jackson,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/jackson.png,True
C:/users/thomas/documents/thesis/image analysis/positive/jacobs,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/jacobs.png,True
C:/users/thomas/documents/thesis/image analysis/positive/jbhunt,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/jbhunt.png,True
C:/users/thomas/documents/thesis/image analysis/positive/jetblue,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/jetblue.png,False
C:/users/thomas/documents/thesis/image analysis/positive/jmsmucker,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/jmsmucker.png,False
C:/users/thomas/documents/thesis/image analysis/positive/jnj,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/jnj.png,True
C:/users/thomas/documents/thesis/image analysis/positive/jpmorganchase,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/jpmorganchase.png,True
C:/users/thomas/documents/thesis/image analysis/positive/kindermorgan,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/kindermorgan.png,False
C:/users/thomas/documents/thesis/image analysis/positive/kkr,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/kkr.png,False
C:/users/thomas/documents/thesis/image analysis/positive/kla,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/kla.png,True
C:/users/thomas/documents/thesis/image analysis/positive/knight-swift,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/knight-swift.png,False
C:/users/thomas/documents/thesis/image analysis/positive/kraftheinzcompany,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/kraftheinzcompany.png,False
C:/users/thomas/documents/thesis/image analysis/positive/kyndryl,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/kyndryl.png,False
C:/users/thomas/documents/thesis/image analysis/positive/l3harris,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/l3harris.png,False
C:/users/thomas/documents/thesis/image analysis/positive/labcorp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/labcorp.png,True
C:/users/thomas/documents/thesis/image analysis/positive/lamresearch,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/lamresearch.png,False
C:/users/thomas/documents/thesis/image analysis/positive/landolakesinc,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/landolakesinc.png,False
C:/users/thomas/documents/thesis/image analysis/positive/lear,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/lear.png,False
C:/users/thomas/documents/thesis/image analysis/positive/leidos,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/leidos.png,True
C:/users/thomas/documents/thesis/image analysis/positive/lilly,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/lilly.png,False
C:/users/thomas/documents/thesis/image analysis/positive/lithia,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/lithia.png,False
C:/users/thomas/documents/thesis/image analysis/positive/lkqcorp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/lkqcorp.png,True
C:/users/thomas/documents/thesis/image analysis/positive/lockheedmartin,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/lockheedmartin.png,False
C:/users/thomas/documents/thesis/image analysis/positive/lumen,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/lumen.png,True
C:/users/thomas/documents/thesis/image analysis/positive/manpowergroup,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/manpowergroup.png,False
C:/users/thomas/documents/thesis/image analysis/positive/markel,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/markel.png,True
C:/users/thomas/documents/thesis/image analysis/positive/marriott,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/marriott.png,False
C:/users/thomas/documents/thesis/image analysis/positive/marsh,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/marsh.png,False
C:/users/thomas/documents/thesis/image analysis/positive/mastercard,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/mastercard.png,False
C:/users/thomas/documents/thesis/image analysis/positive/mcdonalds,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/mcdonalds.png,False
C:/users/thomas/documents/thesis/image analysis/positive/mckesson,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/mckesson.png,True
C:/users/thomas/documents/thesis/image analysis/positive/merck,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/merck.png,True
C:/users/thomas/documents/thesis/image analysis/positive/micron,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/micron.png,True
C:/users/thomas/documents/thesis/image analysis/positive/microsoft,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/microsoft.png,False
C:/users/thomas/documents/thesis/image analysis/positive/modernatx,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/modernatx.png,False
C:/users/thomas/documents/thesis/image analysis/positive/molsoncoors,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/molsoncoors.png,False
C:/users/thomas/documents/thesis/image analysis/positive/mondelezinternational,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/mondelezinternational.png,False
C:/users/thomas/documents/thesis/image analysis/positive/morganstanley,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/morganstanley.png,False
C:/users/thomas/documents/thesis/image analysis/positive/mosaicco,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/mosaicco.png,False
C:/users/thomas/documents/thesis/image analysis/positive/motorolasolutions,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/motorolasolutions.png,False
C:/users/thomas/documents/thesis/image analysis/positive/nationwide,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/nationwide.png,False
C:/users/thomas/documents/thesis/image analysis/positive/netflix,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/netflix.png,False
C:/users/thomas/documents/thesis/image analysis/positive/newellbrands,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/newellbrands.png,True
C:/users/thomas/documents/thesis/image analysis/positive/nglenergypartners,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/nglenergypartners.png,False
C:/users/thomas/documents/thesis/image analysis/positive/nike,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/nike.png,False
C:/users/thomas/documents/thesis/image analysis/positive/northropgrumman,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/northropgrumman.png,True
C:/users/thomas/documents/thesis/image analysis/positive/northwesternmutual,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/northwesternmutual.png,True
C:/users/thomas/documents/thesis/image analysis/positive/nvidia,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/nvidia.png,False
C:/users/thomas/documents/thesis/image analysis/positive/onsemi,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/onsemi.png,True
C:/users/thomas/documents/thesis/image analysis/positive/oracle,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/oracle.png,False
C:/users/thomas/documents/thesis/image analysis/positive/oreillyauto,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/oreillyauto.png,False
C:/users/thomas/documents/thesis/image analysis/positive/otis,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/otis.png,True
C:/users/thomas/documents/thesis/image analysis/positive/owenscorning,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/owenscorning.png,False
C:/users/thomas/documents/thesis/image analysis/positive/oxy,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/oxy.png,False
C:/users/thomas/documents/thesis/image analysis/positive/paccar,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/paccar.png,True
C:/users/thomas/documents/thesis/image analysis/positive/pacificlife,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/pacificlife.png,False
C:/users/thomas/documents/thesis/image analysis/positive/packagingcorp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/packagingcorp.png,False
C:/users/thomas/documents/thesis/image analysis/positive/paramount,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/paramount.png,True
C:/users/thomas/documents/thesis/image analysis/positive/parpacific,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/parpacific.png,True
C:/users/thomas/documents/thesis/image analysis/positive/paypal,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/paypal.png,False
C:/users/thomas/documents/thesis/image analysis/positive/penskeautomotive,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/penskeautomotive.png,False
C:/users/thomas/documents/thesis/image analysis/positive/pfgc,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/pfgc.png,False
C:/users/thomas/documents/thesis/image analysis/positive/pfizer,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/pfizer.png,False
C:/users/thomas/documents/thesis/image analysis/positive/pg,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/pg.png,False
C:/users/thomas/documents/thesis/image analysis/positive/pgecorp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/pgecorp.png,True
C:/users/thomas/documents/thesis/image analysis/positive/phillips66,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/phillips66.png,True
C:/users/thomas/documents/thesis/image analysis/positive/pmi,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/pmi.png,False
C:/users/thomas/documents/thesis/image analysis/positive/polaris,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/polaris.png,False
C:/users/thomas/documents/thesis/image analysis/positive/principal,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/principal.png,True
C:/users/thomas/documents/thesis/image analysis/positive/pxd,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/pxd.png,False
C:/users/thomas/documents/thesis/image analysis/positive/qualcomm,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/qualcomm.png,True
C:/users/thomas/documents/thesis/image analysis/positive/quantaservices,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/quantaservices.png,False
C:/users/thomas/documents/thesis/image analysis/positive/questdiagnostics,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/questdiagnostics.png,True
C:/users/thomas/documents/thesis/image analysis/positive/raymondjames,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/raymondjames.png,True
C:/users/thomas/documents/thesis/image analysis/positive/regeneron,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/regeneron.png,False
C:/users/thomas/documents/thesis/image analysis/positive/rgare,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/rgare.png,False
C:/users/thomas/documents/thesis/image analysis/positive/roberthalf,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/roberthalf.png,True
C:/users/thomas/documents/thesis/image analysis/positive/rossstores,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/rossstores.png,False
C:/users/thomas/documents/thesis/image analysis/positive/saic,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/saic.png,False
C:/users/thomas/documents/thesis/image analysis/positive/salesforce,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/salesforce.png,True
C:/users/thomas/documents/thesis/image analysis/positive/seaboardcorp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/seaboardcorp.png,False
C:/users/thomas/documents/thesis/image analysis/positive/sherwin-williams,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/sherwin-williams.png,True
C:/users/thomas/documents/thesis/image analysis/positive/sonicautomotive,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/sonicautomotive.png,False
C:/users/thomas/documents/thesis/image analysis/positive/sonoco,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/sonoco.png,True
C:/users/thomas/documents/thesis/image analysis/positive/starbucks,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/starbucks.png,False
C:/users/thomas/documents/thesis/image analysis/positive/statestreet,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/statestreet.png,True
C:/users/thomas/documents/thesis/image analysis/positive/stonex,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/stonex.png,True
C:/users/thomas/documents/thesis/image analysis/positive/svb,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/svb.png,False
C:/users/thomas/documents/thesis/image analysis/positive/ta-petro,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ta-petro.png,False
C:/users/thomas/documents/thesis/image analysis/positive/tdsynnex,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/tdsynnex.png,False
C:/users/thomas/documents/thesis/image analysis/positive/textron,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/textron.png,False
C:/users/thomas/documents/thesis/image analysis/positive/thehersheycompany,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/thehersheycompany.png,False
C:/users/thomas/documents/thesis/image analysis/positive/theice,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/theice.png,False
C:/users/thomas/documents/thesis/image analysis/positive/thermofisher,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/thermofisher.png,False
C:/users/thomas/documents/thesis/image analysis/positive/thorindustries,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/thorindustries.png,True
C:/users/thomas/documents/thesis/image analysis/positive/ti,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ti.png,False
C:/users/thomas/documents/thesis/image analysis/positive/tysonfoods,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/tysonfoods.png,True
C:/users/thomas/documents/thesis/image analysis/positive/uber,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/uber.png,True
C:/users/thomas/documents/thesis/image analysis/positive/ufpi,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ufpi.png,False
C:/users/thomas/documents/thesis/image analysis/positive/ulta,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ulta.png,False
C:/users/thomas/documents/thesis/image analysis/positive/unfi,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/unfi.png,True
C:/users/thomas/documents/thesis/image analysis/positive/unitedhealthgroup,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/unitedhealthgroup.png,True
